 ,8/1/2022,8/8/2022,8/15/2022,8/22/2022,8/29/2022,9/5/2022,9/12/2022,9/19/2022,9/26/2022,10/3/2022,10/10/2022,10/17/2022,10/24/2022,10/31/2022,11/7/2022,11/14/2022,11/21/2022,11/28/2022,12/5/2022,12/12/2022,12/19/2022,12/26/2022,1/2/2023,1/9/2023,1/16/2023,1/23/2023,1/30/2023,2/6/2023,2/13/2023,2/20/2023,2/27/2023,3/6/2023,3/13/2023,3/20/2023,3/27/2023,4/3/2023,4/10/2023,4/17/2023,4/24/2023,5/1/2023,5/8/2023,5/15/2023,5/22/2023,5/29/2023,6/5/2023
Title,8/7/2022,8/14/2022,8/21/2022,8/28/2022,9/4/2022,9/11/2022,9/18/2022,9/25/2022,10/2/2022,10/9/2022,10/16/2022,10/23/2022,10/30/2022,11/6/2022,11/13/2022,11/20/2022,11/27/2022,12/4/2022,12/11/2022,12/18/2022,12/25/2022,1/1/2023,1/8/2023,1/15/2023,1/22/2023,1/29/2023,2/5/2023,2/12/2023,2/19/2023,2/26/2023,3/5/2023,3/12/2023,3/19/2023,3/26/2023,4/2/2023,4/9/2023,4/16/2023,4/23/2023,4/30/2023,5/7/2023,5/14/2023,5/21/2023,5/28/2023,6/4/2023,6/11/2023
Interviews Scheduled - Tyler,17,19,23,0,0,17,8,19,17,22,27,12,22,21,25,23,6,15,17,27,19,8,7,6,8,12,7,5,3,8,8,17,14,10,14,23,21,21,17,23,12,15,23,23,
Interviews Scheduled - Longview,31,26,23,22,18,17,14,13,16,5,18,3,9,6,8,17,7,4,11,0,0,6,21,19,28,7,17,19,17,19,24,20,15,12,13,16,16,28,19,26,16,29,35,27,
Interviews Scheduled - Corsicana,9,10,7,0,0,9,0,6,14,9,10,6,2,4,4,18,3,5,3,3,6,1,4,9,6,9,6,6,5,6,0,8,3,8,14,6,7,10,10,7,4,8,17,5,
Interviews Scheduled - Nacodoches,2,3,10,14,14,18,21,10,16,34,16,22,8,34,22,14,3,15,15,4,13,6,9,5,10,3,10,11,14,11,11,7,10,8,11,17,2,0,7,7,13,11,19,28,
Interviews Scheduled - Texarkana,0,11,8,0,6,15,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,11,17,0,14,0,13,28,0,5,3,12,6,19,
Interviews Scheduled - Sulphur Springs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,7,11,5,6,11,
NCNS to Interview - Tyler,5,8,15,0,0,10,3,8,8,8,14,3,12,11,9,9,3,6,4,10,9,4,6,2,2,2,3,3,3,4,3,7,5,6,5,8,11,10,12,17,3,10,14,8,
NCNS to Interview - Longview,26,12,20,15,10,9,8,8,7,2,9,1,4,3,5,8,4,1,7,0,0,4,11,10,17,1,12,10,7,11,8,8,8,6,7,6,9,16,7,20,10,13,13,13,
NCNS to Interview - Corsicana,5,4,6,0,0,7,0,6,7,5,5,3,1,4,1,7,2,1,1,0,3,1,3,6,4,5,1,1,0,2,0,1,1,5,6,3,4,4,4,3,2,2,8,2,
NCNS to Interview - Nacodoches,1,0,6,5,9,10,14,3,11,17,4,8,5,18,13,7,2,9,6,2,3,3,2,2,5,1,4,4,4,4,6,4,6,4,5,9,0,0,2,3,7,6,11,13,
NCNS to Interview - Texarkana,0,6,4,0,1,7,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,3,0,4,0,5,9,0,3,2,4,3,8,
NCNS to Interview - Sulphur Springs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,3,4,3,3,6,
Open Major Hiring Needs - Tyler,1,0,0,0,0,1,4,4,5,4,3,5,4,4,5,6,5,6,6,5,4,2,2,4,4,4,2,1,1,2,2,4,6,7,6,8,4,2,1,7,4,6,6,6,
Open Major Hiring Needs - Longview,3,3,3,4,6,3,2,3,3,2,3,0,2,3,2,4,3,0,1,0,0,2,2,10,10,4,5,6,7,10,12,7,12,6,10,8,6,4,8,3,5,7,9,8,
Open Major Hiring Needs - Corsicana,1,2,1,0,0,2,0,1,2,1,1,0,0,0,2,3,0,0,0,1,1,0,1,2,2,2,2,4,1,2,0,3,2,2,3,4,2,2,2,3,4,5,5,5,
Open Major Hiring Needs - Nacodoches,1,0,0,2,2,9,4,4,3,5,4,5,4,4,4,3,2,2,2,0,3,1,1,1,3,0,2,5,5,5,3,4,4,6,9,5,0,0,7,7,8,7,11,9,
Open Major Hiring Needs - Texarkana,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,3,4,1,5,5,5,6,3,0,2,2,2,1,
Open Major Hiring Needs - Sulphur Springs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0,0,1,2,1,1,0,
Hires in WellSky - Tyler,1,9,5,4,0,1,3,4,,14,7,5,3,6,6,,1,3,5,9,,8,0,2,2,4,2,0,0,1,3,1,4,1,4,6,4,2,1,3,4,5,2,9,
Hires in WellSky - Longview,7,6,3,4,3,7,1,6,,5,7,3,1,3,0,,2,3,2,1,,0,7,5,5,3,3,3,5,4,0,2,3,2,4,7,2,3,6,2,1,6,5,3,
Hires in WellSky - Corsicana,1,2,0,0,0,1,0,0,,1,6,1,1,0,4,,1,1,1,0,,1,1,0,4,3,0,3,2,1,0,3,0,1,4,2,4,1,2,2,1,1,8,1,
Hires in WellSky - Nacodoches,0,0,2,4,1,1,5,3,,8,2,2,2,5,5,,1,3,1,1,,2,1,1,1,2,1,2,1,2,2,1,1,1,3,4,4,0,3,0,1,3,2,5,
Hires inWellSky - Texarkana,3,0,2,0,0,6,1,7,,1,1,,0,0,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,2,1,1,3,1,1,3,3,6,3,0,0,3,1,2,
Hires in WellSky - Sulphur Springs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,1,0,0,0,1,3,0,2,
